AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
146.97,0.399,0.91,0.0522,25.82,0.63,60.6,2025,107.313
15.7,0.586,1,0.0375,9.02,0.35,36.6,934,2.645
12.87,0.251,0.969,0.0322,7.84,0.71,61.9,2000,16.3555
698.01,0.517,0.974,0.0505,49.76,0.56,37.7,1140,176.675
598.42,0.423,0.76,0.0344,68.98,0.71,52.9,2129,189.4815
179.98,0.474,0.994,0.0401,27.65,0.42,36.3,900,49.309
202.54,0.593,0.996,0.0646,31.7,0.49,36.1,977,27.319
197.07,0.376,0.963,0.0714,37.67,0.64,44.2,1341,84.27
131.51,0.447,0.898,0.0311,29.33,0.72,38,1437,50.652
243.63,0.4,0.942,0.0547,55.15,0.6,39.1,1368,90.921
105.98,0.43,0.839,0.0467,25.12,0.7,35.5,1292,50.897
40.83,0.671,0.979,0.0337,13.66,0.44,41.6,1206,5.53
282.03,0.347,0.973,0.0591,39.06,0.45,34,794,100.858505
3300.8,0.439,0.983,0.1357,152.06,0.37,36.5,899,318.5
584.7,0.487,0.894,0.0561,55.63,0.63,45.9,1505,203.9845
127.45,0.529,0.952,0.093,29.45,0.68,43.7,1294,36.936
2276.03,0.489,0.971,0.0741,125.23,0.64,39.9,1182,611.515
203.22,0.382,0.998,0.0987,42.98,0.61,45,1446,118.832
118.86,0.597,0.997,0.0356,37.24,0.29,33.3,730,36.964
64.54,0.403,0.992,0.0674,15.46,0.29,28.3,574,8.856
247.81,0.44,0.694,0.0524,36.16,0.71,67,2172,72.636505
22.44,0.319,0.983,0.0182,8.08,0.7,42,1317,15.2815
216.64,0.577,0.979,0.0741,39.5,0.42,37.5,833,45.461502
468.87,0.386,0.99,0.0408,58.77,0.68,46.3,1485,336.24548
118.62,0.266,0.999,0.0251,16.43,0.64,45,1522,132.02701
24.92,0.497,0.983,0.0971,11.6,0.34,36.5,849,6.6375
185.16,0.454,0.993,0.0417,24.06,0.31,34.7,677,23.213
24.58,0.261,1,0.0212,9.44,0.59,49.3,1577,31.368
1371.7,0.509,0.955,0.0615,105.81,0.65,42.8,1273,421.142
229.26,0.434,0.996,0.0776,35.62,0.62,41.9,1397,123.004
78.28,0.42,0.982,0.0451,26.13,0.36,40,912,21.878
202.79,0.549,0.996,0.0502,41,0.4,38.4,971,68.1455
58.78,0.885,0.879,0.0289,21.12,0.36,35.1,810,1.998
129.49,0.497,0.897,0.0648,38.47,0.69,51.6,1753,70.138
518.88,0.442,0.992,0.1227,45.99,0.36,34.6,849,120.528
319.3,0.314,1,0.0333,45.96,0.62,39.3,1291,301.3875
233.6,0.623,0.986,0.2022,34.06,0.31,32.2,639,10.415501
62.5,0.528,0.999,0.0268,21.55,0.53,43.1,1171,23.456
131.05,0.536,0.999,0.0295,26.69,0.52,51.9,1603,78.409
56.46,0.554,0.993,0.0936,15.94,0.26,25.5,566,3.83
1626.71,0.686,0.946,0.1923,96.68,0.32,32.3,730,77.624
35.42,0.355,0.993,0.0757,15.71,0.34,37.1,886,13.49
148.45,0.455,1,0.0327,34.13,0.44,36.3,1098,58.693
173.32,0.466,0.996,0.0309,51.38,0.61,44.8,1394,119.551
12.06,0.271,0.988,0.0398,8.41,0.61,57.5,2316,16.31
377.97,0.342,0.999,0.028,48.74,0.62,42.9,1226,231.323
243.04,0.493,0.997,0.0336,41.65,0.57,50.7,1538,122.902
429.2,0.523,0.996,0.091,46.75,0.56,32.8,1077,131.324
3480.01,0.65,0.953,0.1758,138,0.31,32.3,690,148.0145
15.07,0.525,1,0.0194,9.47,0.38,37.8,830,5.2244997
46.42,0.853,0.915,0.1649,18.09,0.31,28.2,645,0.788
4016.42,0.542,0.979,0.0824,244.21,0.38,38.7,1010,530.023
333.43,0.359,0.994,0.0672,64.44,0.62,35.1,1073,134.7875
103.14,0.445,0.786,0.0545,24.75,0.61,50.9,1790,34.471
3345.74,0.496,0.978,0.046,124.89,0.53,35.9,1014,806.71
447.94,0.937,0.976,0.0518,52.3,0.35,33.7,830,12.92
84.98,0.403,0.992,0.0694,19.27,0.53,40.9,1016,28.297
64.11,0.843,0.949,0.0521,18.34,0.29,33.3,695,2.482
126.36,0.463,0.992,0.1523,28.3,0.6,32.8,1131,34.3465
18.77,0.448,0.727,0.0522,9.43,0.71,57.9,1897,7.4969997
223.1,0.443,0.997,0.0472,29.82,0.66,45.1,1270,178.001
283.38,0.274,1,0.025,36.36,0.62,39,1230,217.1995
107.23,0.882,0.99,0.0357,24.52,0.38,37.4,969,5.1225
53.17,0.439,1,0.024,15.1,0.59,42.2,1268,23.207
37.38,0.362,0.995,0.0468,13.8,0.79,65.1,2766,59.9645
325.71,0.522,0.984,0.0751,41.23,0.4,34,812,45.9765
195.45,0.562,0.996,0.0458,26.55,0.53,33.5,870,21.744
51.56,0.404,0.968,0.0558,13.29,0.56,64.4,2056,40.380997
331.64,0.359,0.915,0.0488,31.14,0.81,45.4,1896,342.057
136.34,0.442,0.927,0.0527,23.09,0.44,35,976,27.9975
1049.61,0.311,0.989,0.0489,69.1,0.5,34.6,1013,440.64
792.65,0.573,0.997,0.0506,102.52,0.55,34.9,916,112.720505
10.94,0.338,1,0.1046,10.72,0.22,31.5,591,2.6455
172.17,0.423,0.997,0.041,37.71,0.59,52.7,1636,114.795
341.76,0.363,0.976,0.0461,32.35,0.7,63.9,2040,378.99548
11.46,0.227,1,0.0412,6.03,0.64,53.1,1904,15.09
88.59,0.4,0.974,0.0776,24.07,0.59,31.4,1003,29.739
1090.83,0.478,0.984,0.0607,89.91,0.59,49.8,1535,378.803
502.24,0.518,0.981,0.047,57.21,0.35,37.9,814,117.71
173.94,0.391,0.948,0.0606,48.39,0.58,32.7,926,51.665
55.97,0.393,1,0.0085,13.52,0.72,48.6,1670,77.673
621.52,0.513,0.955,0.1575,64.6,0.34,29.8,732,46.449997
1594.22,0.608,0.994,0.141,99.11,0.34,32.2,765,80.4105
